Title,Date,Rating,Votes,Director
Terminator 2: Judgment Day,1991,8.5,1051684,James Cameron
Double Indemnity,1944,8.3,152184,Billy Wilder
Metropolis,1927,8.3,169332,Fritz Lang
The Right Stuff,1983,7.8,60124,Philip Kaufman
The Gold Rush,1925,8.2,108091,Charles Chaplin
Heavenly Creatures,1994,7.3,62626,Peter Jackson
The Philadelphia Story,1940,7.9,67379,George Cukor
Delicatessen,1991,7.6,83832,"Marc Caro,  Jean-Pierre Jeunet"
Ben-Hur,1959,8.1,231927,William Wyler
Mr. Smith Goes to Washington,1939,8.1,112987,Frank Capra
The Great Dictator,1940,8.4,216793,Charles Chaplin
8�,1963,8,115064,Federico Fellini
The Shining,1980,8.4,966155,Stanley Kubrick
The Seventh Seal,1957,8.2,178703,Ingmar Bergman
Wings of Desire,1987,8,69016,Wim Wenders
Nikita,1990,7.3,70837,Luc Besson
Chasing Amy,1997,7.2,136154,Kevin Smith
Cool Hand Luke,1967,8.1,172350,Stuart Rosenberg
Sense and Sensibility,1995,7.7,111580,Ang Lee
The Killer,1989,7.8,47557,John Woo
Once Upon a Time in America,1984,8.3,336687,Sergio Leone
A Christmas Story,1983,7.9,145415,Bob Clark
Dead Poets Society,1989,8.1,460589,Peter Weir
Indiana Jones and the Last Crusade,1989,8.2,728457,Steven Spielberg
Life of Brian,1979,8.1,387536,Terry Jones
The Big Sleep,1946,7.9,83714,Howard Hawks
Shine,1996,7.7,53459,Scott Hicks
Trainspotting,1996,8.1,665213,Danny Boyle
The Manchurian Candidate,1962,7.9,74286,John Frankenheimer
Stand by Me,1986,8.1,386238,Rob Reiner
The Terminator,1984,8,829941,James Cameron
High Noon,1952,8,102029,Fred Zinnemann
Hamlet,1996,7.7,37483,Kenneth Branagh
Rebecca,1940,8.1,133114,Alfred Hitchcock
Once Were Warriors,1994,7.9,33344,Lee Tamahori
Swingers,1996,7.2,80757,Doug Liman
In the Name of the Father,1993,8.1,168658,Jim Sheridan
Butch Cassidy and the Sundance Kid,1969,8,211231,George Roy Hill
Die Hard,1988,8.2,846060,John McTiernan
Roman Holiday,1953,8,135058,William Wyler
The Day the Earth Stood Still,1951,7.7,80394,Robert Wise
On the Waterfront,1954,8.1,150611,Elia Kazan
The Blues Brothers,1980,7.9,193333,John Landis
Gandhi,1982,8,225282,Richard Attenborough
Smoke,1995,7.4,35706,Wayne Wang
Young Frankenstein,1974,8,153806,Mel Brooks
The Wild Bunch,1969,7.9,82543,Sam Peckinpah
Fantasia,1940,7.7,93361,"James Algar,  Samuel Armstrong,  Ford Beebe Jr.,  Norman Ferguson,  David Hand,  Jim Handley,  T. Hee,  Wilfred Jackson,  Hamilton Luske,  Bill Roberts,  Paul Satterfield,  Ben Sharpsteen"
Jaws,1975,8,572587,Steven Spielberg
Gone with the Wind,1939,8.1,305777,"Victor Fleming,  George Cukor,  Sam Wood"
Miller's Crossing,1990,7.7,132443,"Joel Coen,  Ethan Coen"
Notorious,1946,8,98654,Alfred Hitchcock
The Killing Fields,1984,7.8,54495,Roland Joff�
Three Colors: Red,1994,8.1,100082,Krzysztof Kieslowski
The City of Lost Children,1995,7.5,67358,"Marc Caro,  Jean-Pierre Jeunet"
Three Colors: Blue,1993,7.9,98272,Krzysztof Kieslowski
The Remains of the Day,1993,7.8,71587,James Ivory
Scream,1996,7.3,319734,Wes Craven
My Fair Lady,1964,7.8,92806,George Cukor
Unforgiven,1992,8.2,398176,Clint Eastwood
Beauty and the Beast,1991,8,433751,"Gary Trousdale,  Kirk Wise"
Forrest Gump,1994,8.8,1952353,Robert Zemeckis
Breakfast at Tiffany's,1961,7.6,175136,Blake Edwards
Bringing Up Baby,1938,7.9,59931,Howard Hawks
Being There,1979,8,70823,Hal Ashby
True Romance,1993,7.9,220057,Tony Scott
Patton,1970,7.9,99871,Franklin J. Schaffner
Face/Off,1997,7.2,365090,John Woo
The Conversation,1974,7.8,107770,Francis Ford Coppola
The Game,1997,7.7,376833,David Fincher
Rain Man,1988,8,496521,Barry Levinson
Fried Green Tomatoes,1991,7.7,72262,Jon Avnet
Jean de Florette,1986,8,25276,Claude Berri
MASH,1970,7.4,71094,Robert Altman
Babe,1995,6.8,122545,Chris Noonan
The Player,1992,7.5,58448,Robert Altman
Heat,1995,8.2,621969,Michael Mann
Apollo 13,1995,7.6,285514,Ron Howard
Three Colors: White,1994,7.6,70958,Krzysztof Kieslowski
The Quiet Man,1952,7.8,37378,John Ford
Night on Earth,1991,7.7,58888,Jim Jarmusch
This Is Spinal Tap,1984,7.9,136506,Rob Reiner
Cyrano de Bergerac,1990,7.5,23792,Jean-Paul Rappeneau
The Fifth Element,1997,7.7,456862,Luc Besson
Back to the Future,1985,8.5,1138009,Robert Zemeckis
Harold and Maude,1971,7.9,75773,Hal Ashby
Rebel Without a Cause,1955,7.7,88213,Nicholas Ray
The Untouchables,1987,7.9,299006,Brian De Palma
Shallow Grave,1994,7.3,59830,Danny Boyle
Doctor Zhivago,1965,8,74412,David Lean
Little Big Man,1970,7.6,34589,Arthur Penn
The Man Who Would Be King,1975,7.8,47843,John Huston
Grosse Pointe Blank,1997,7.3,92535,George Armitage
Aladdin,1992,8,393229,"Ron Clements,  John Musker"
The Sound of Music,1965,8,221289,Robert Wise
Hard Boiled,1992,7.8,49300,John Woo
A Fish Called Wanda,1988,7.5,139013,"Charles Crichton,  John Cleese"
Akira,1988,8,177839,Katsuhiro �tomo
A Grand Day Out,1989,7.8,33324,Nick Park
Searching for Bobby Fischer,1993,7.4,39620,Steven Zaillian
My Life as a Dog,1985,7.6,20747,Lasse Hallstr�m
Field of Dreams,1989,7.5,115948,Phil Alden Robinson
A Room with a View,1985,7.3,42528,James Ivory
Witness,1985,7.4,92203,Peter Weir
Bound,1996,7.3,54091,"Lana Wachowski,  Lilly Wachowski"
Blood Simple,1984,7.6,93765,"Joel Coen,  Ethan Coen"
The Double Life of V�ronique,1991,7.8,46683,Krzysztof Kieslowski
Rosencrantz & Guildenstern Are Dead,1990,7.4,21723,Tom Stoppard
Raising Arizona,1987,7.3,134804,"Joel Coen,  Ethan Coen"
Dangerous Liaisons,1988,7.6,68217,Stephen Frears
Groundhog Day,1993,8,602851,Harold Ramis
Local Hero,1983,7.4,23431,Bill Forsyth
Koyaanisqatsi,1982,8.3,37543,Godfrey Reggio
The Elephant Man,1980,8.1,233795,David Lynch
Naked,1993,7.8,38008,Mike Leigh
Crimes and Misdemeanors,1989,7.9,57053,Woody Allen
Platoon,1986,8.1,400962,Oliver Stone
Spartacus,1960,7.9,131615,Stanley Kubrick
When Harry Met Sally...,1989,7.6,209844,Rob Reiner
Leaving Las Vegas,1995,7.5,120692,Mike Figgis
Short Cuts,1993,7.7,44135,Robert Altman
Diva,1981,7.2,12750,Jean-Jacques Beineix
Braindead,1992,7.5,95265,Peter Jackson
West Side Story,1961,7.5,107792,"Jerome Robbins,  Robert Wise"
Airplane!,1980,7.7,229124,"Jim Abrahams,  David Zucker,  Jerry Zucker"
Snow White and the Seven Dwarfs,1937,7.6,192542,"William Cottrell,  David Hand,  Wilfred Jackson,  Larry Morey,  Perce Pearce,  Ben Sharpsteen"
Mary Poppins,1964,7.8,166953,Robert Stevenson
The Birds,1963,7.7,182664,Alfred Hitchcock
A Few Good Men,1992,7.7,251830,Rob Reiner
The People vs. Larry Flynt,1996,7.3,92786,Milos Forman
What's Eating Gilbert Grape,1993,7.7,229072,Lasse Hallstr�m
Gallipoli,1981,7.4,38878,Peter Weir
The Producers,1967,7.6,54742,Mel Brooks
The Lion King,1994,8.5,1004327,"Roger Allers,  Rob Minkoff"
Dog Day Afternoon,1975,8,249156,Sidney Lumet
Papillon,1973,8,127666,Franklin J. Schaffner
Deliverance,1972,7.7,105047,John Boorman
Dial M for Murder,1954,8.2,169702,Alfred Hitchcock
The English Patient,1996,7.4,186242,Anthony Minghella
Blue Velvet,1986,7.7,192154,David Lynch
Evil Dead II,1987,7.7,157496,Sam Raimi
Men in Black,1997,7.3,545559,Barry Sonnenfeld
Big Night,1996,7.3,19706,"Campbell Scott,  Stanley Tucci"
"Paris, Texas",1984,8.1,101854,Wim Wenders
Ed Wood,1994,7.8,172348,Tim Burton
The Hunt for Red October,1990,7.6,192053,John McTiernan
A Time to Kill,1996,7.5,148884,Joel Schumacher
The Big Blue,1988,7.6,50592,Luc Besson
Dances with Wolves,1990,8,254507,Kevin Costner
Donnie Brasco,1997,7.7,295649,Mike Newell
The Rock,1996,7.4,327733,Michael Bay
Awakenings,1990,7.8,135733,Penny Marshall
Heathers,1988,7.2,98234,Michael Lehmann
The Name of the Rose,1986,7.7,106435,Jean-Jacques Annaud
Goldfinger,1964,7.7,184653,Guy Hamilton
Cabaret,1972,7.8,52901,Bob Fosse
